ID;Country_Code;Province;Latitude;Longitude;Date;Day;Month;Year
260;EC;;-1.1373;-75.498;9/15/2021;15;9;2021
261;EC;;-0.5305;-76.3779;2/4/2021;4;2;2021
262;EC;;-0.786;-75.9016;10/11/2023;11;10;2023
263;EC;;-0.5299;-76.3873;3/4/2022;4;3;2022
264;EC;;-0.7803;-75.906;2/14/2023;14;2;2023
265;EC;;-0.9975;-76.8698;8/8/2022;8;8;2022
266;EC;;-0.664;-75.9164;8/14/2022;14;8;2022
267;EC;;-0.7596;-75.9074;11/4/2021;4;11;2021
268;EC;;-0.5252;-76.3837;2/9/2021;9;2;2021
269;EC;;-0.8509;-75.9252;1/8/2022;8;1;2022
270;EC;;-0.8696;-75.9271;4/15/2022;15;4;2022
271;EC;;-0.8088;-75.9049;10/27/2023;27;10;2023
272;EC;;-0.5309;-76.387;2/9/2021;9;2;2021
273;EC;;-0.5338;-76.3696;1/9/2022;9;1;2022
274;EC;;-0.8085;-75.9047;6/29/2023;29;6;2023
275;EC;;-0.5253;-76.3867;3/19/2021;19;3;2021
276;EC;;-0.6892;-76.4185;10/27/2021;27;10;2021
277;EC;;-0.6812;-76.3981;1/20/2021;20;1;2021
278;EC;;-0.5328;-76.3767;6/28/2021;28;6;2021
279;EC;;-0.5255;-76.3811;12/21/2020;21;12;2020
280;EC;;-0.9576;-75.62;12/9/2020;9;12;2020
281;EC;;-0.8057;-75.9044;10/23/2021;23;10;2021
282;EC;;-0.5287;-76.3794;7/7/2021;7;7;2021
283;EC;;-0.6672;-75.93;5/19/2022;19;5;2022
284;EC;;-0.663;-75.9719;4/11/2021;11;4;2021
285;EC;;-0.526;-76.3846;7/25/2022;25;7;2022
286;EC;;-0.5087;-76.4365;5/19/2022;19;5;2022
287;EC;;-0.5284;-76.3883;6/9/2023;9;6;2023
288;EC;;-0.6433;-76.6127;1/26/2020;26;1;2020
289;EC;;-0.8666;-75.9265;5/7/2022;7;5;2022
290;EC;;-0.5305;-76.378;3/21/2021;21;3;2021
291;EC;;-0.9781;-76.854;6/7/2022;7;6;2022
292;EC;;-0.8153;-75.9079;11/13/2021;13;11;2021
293;EC;;-0.7383;-75.9215;3/13/2023;13;3;2023
294;EC;;-0.8353;-75.9203;6/18/2022;18;6;2022
295;EC;;-0.8182;-75.6111;5/14/2021;14;5;2021
296;EC;;-0.6673;-75.9512;1/30/2023;30;1;2023
297;EC;;-0.525;-76.3827;12/16/2021;16;12;2021
298;EC;;-0.5194;-76.3568;5/13/2021;13;5;2021
299;EC;;-0.6721;-76.3994;8/25/2022;25;8;2022
300;EC;;-0.679;-76.3993;3/24/2021;24;3;2021
301;EC;;-0.6717;-75.9049;9/12/2022;12;9;2022
302;EC;;-0.7448;-75.9188;10/10/2022;10;10;2022
303;EC;;-0.7515;-75.9156;8/23/2022;23;8;2022
304;EC;;-0.8264;-75.6127;10/5/2022;5;10;2022
305;EC;;-0.9721;-75.4383;7/7/2020;7;7;2020
306;EC;;-0.8915;-76.7789;5/22/2023;22;5;2023
307;EC;;-0.8303;-76.8054;10/18/2021;18;10;2021
308;EC;;-0.6719;-76.3994;2/24/2020;24;2;2020
309;EC;;-0.6805;-76.3953;12/8/2021;8;12;2021
310;EC;;-0.6675;-75.9387;10/19/2021;19;10;2021
311;EC;;-0.5269;-76.3848;6/28/2022;28;6;2022
312;EC;;-0.6674;-75.9363;9/11/2022;11;9;2022
313;EC;;-1.0009;-76.8731;6/7/2022;7;6;2022
314;EC;;-0.8021;-75.9033;11/15/2021;15;11;2021
315;EC;;-0.6634;-75.9172;6/10/2022;10;6;2022
316;EC;;-0.801;-75.9028;9/27/2023;27;9;2023
317;EC;;-0.9773;-75.4323;5/23/2023;23;5;2023
318;EC;;-0.5306;-76.3607;5/13/2021;13;5;2021
319;EC;;-0.7709;-75.9059;11/15/2021;15;11;2021
320;EC;;-0.7521;-75.9128;12/22/2022;22;12;2022
321;EC;;-1.583;-75.614;12/12/2022;12;12;2022
322;EC;;-0.7382;-75.9216;8/27/2022;27;8;2022
323;EC;;-0.5325;-76.3756;4/22/2021;22;4;2021
324;EC;;-0.8901;-76.8155;2/22/2021;22;2;2021
325;EC;;-0.5297;-76.3905;8/2/2021;2;8;2021
326;EC;;-0.6744;-76.3866;2/2/2021;2;2;2021
327;EC;;-0.832;-75.9173;9/21/2023;21;9;2023
328;EC;;-0.5274;-76.3797;11/11/2020;11;11;2020
329;EC;;-0.8262;-75.6135;9/2/2022;2;9;2022
330;EC;;-0.8513;-75.9254;10/16/2021;16;10;2021
331;EC;;-0.7276;-75.917;3/22/2023;22;3;2023
332;EC;;-1.1059;-75.492;3/10/2022;10;3;2022
333;EC;;-0.7203;-75.9136;4/13/2020;13;4;2020
334;EC;;-0.9727;-75.4479;8/14/2023;14;8;2023
335;EC;;-0.9797;-75.4259;10/5/2023;5;10;2023
336;EC;;-0.7655;-75.9059;4/19/2022;19;4;2022
337;EC;;-0.6799;-76.4024;3/24/2021;24;3;2021
338;EC;;-1.0531;-75.4632;10/23/2021;23;10;2021
339;EC;;-0.6632;-75.9188;8/1/2022;1;8;2022
340;EC;;-0.5285;-76.3883;8/2/2021;2;8;2021
341;EC;;-0.6869;-76.4116;9/1/2021;1;9;2021
342;EC;;-0.7247;-75.9165;11/15/2022;15;11;2022
343;EC;;-0.7701;-75.9059;7/12/2023;12;7;2023
344;CO;Caldas;5.558333;-74.785969;9/11/2023;11;9;2023
345;GT;Peten;17.28438;-89.95942;2023-10-11T16:03:39;11;10;2023
346;MX;Quintana Roo;18.450147;-89.13778;2023-02-08T15:41;8;2;2023
347;BR;Mato Grosso;-17.390324;-56.64184;2022-07-31T18:22;31;7;2022
348;EC;;-0.603673;-78.237107;2020-01-07T00:00;7;1;2020
349;EC;;-0.385867;-78.17682;2020-11-18T00:00;18;11;2020
350;EC;;-0.392878;-78.199041;2020-10-23T00:00;23;10;2020
351;EC;;-0.76537;-77.821473;2020-11-10T00:00;10;11;2020
352;AR;Chaco;-25.165194;-60.804795;2023-11-14T12:13:57;14;11;2023
353;AR;Chaco;-25.020124;-60.913108;2023-11-17T09:06:54;17;11;2023
354;GT;Peten;17.402584;-89.23416;2023-12-02T10:09:39;2;12;2023
355;GT;Peten;17.556213;-89.206131;2023-12-02T11:37:10;2;12;2023
356;GT;Peten;17.558885;-89.339723;2023-10-26T08:57;26;10;2023
357;MX;Quintana Roo;20.914022;-87.198348;2022-01-04T08:42;4;1;2022
358;EC;Orellana;-0.670883;-76.286263;2023-10-27T07:33:17;27;10;2023
359;GT;Peten;17.505023;-89.21254;2023-10-25T14:59:07;25;10;2023
360;GT;Peten;17.402707;-89.309003;2023-10-25T15:37:05;25;10;2023
361;GT;Peten;17.523173;-89.282126;2023-10-25T15:00:29;25;10;2023
362;GT;Peten;17.537023;-89.341617;2023-10-25T14:59:32;25;10;2023
363;EC;Sucumbios;0.012253;-77.411727;12/21/2021;21;12;2021
